date,day_id,gl_massbal_cumul_bandcorr,gl_massbal_cumul,gl_accum_cumul,gl_melt_cumul,gl_melt_cumul_bandcorr,gl_melt_daily_m3,gl_melt_daily_m3_bandcorr,gl_rainfall_daily_m3
2019-08-14,-140,0.0000,0.0000,0.0000,0.0000,0.0000,12126.8,12228.1,1433.6
2019-08-15,-139,-0.0118,-0.0117,0.0003,0.0120,0.0121,6226.9,6278.9,155.6
2019-08-16,-138,-0.0178,-0.0177,0.0004,0.0181,0.0183,3743.9,3775.2,483.0
2019-08-17,-137,-0.0201,-0.0199,0.0019,0.0218,0.0220,5323.7,5368.2,36.6
2019-08-18,-136,-0.0253,-0.0251,0.0020,0.0270,0.0273,4542.1,4580.0,1314.4
2019-08-19,-135,-0.0272,-0.0269,0.0046,0.0315,0.0318,10899.6,10990.6,169.9
2019-08-20,-134,-0.0380,-0.0376,0.0046,0.0423,0.0426,14140.7,14258.8,411.1
2019-08-21,-133,-0.0520,-0.0515,0.0047,0.0562,0.0567,17179.9,17323.4,1090.8
2019-08-22,-132,-0.0691,-0.0684,0.0047,0.0732,0.0738,18639.6,18795.3,1344.5
2019-08-23,-131,-0.0876,-0.0868,0.0047,0.0915,0.0923,16118.9,16253.5,931.1
2019-08-24,-130,-0.1035,-0.1026,0.0048,0.1074,0.1083,12736.4,12842.8,2075.3
2019-08-25,-129,-0.1159,-0.1149,0.0051,0.1200,0.1210,18416.8,18570.7,22.1
2019-08-26,-128,-0.1342,-0.1330,0.0051,0.1382,0.1393,18794.8,18951.8,1133.5
2019-08-27,-127,-0.1528,-0.1515,0.0052,0.1567,0.1580,18985.1,19143.7,762.2
2019-08-28,-126,-0.1717,-0.1703,0.0052,0.1754,0.1769,18809.8,18966.9,244.3
2019-08-29,-125,-0.1904,-0.1888,0.0052,0.1940,0.1956,18702.8,18859.0,344.4
2019-08-30,-124,-0.2090,-0.2072,0.0052,0.2124,0.2142,14638.2,14760.5,220.9
2019-08-31,-123,-0.2235,-0.2216,0.0052,0.2269,0.2287,10855.9,10946.5,632.2
2019-09-01,-122,-0.2342,-0.2322,0.0054,0.2376,0.2395,6164.6,6216.0,312.3
2019-09-02,-121,-0.2400,-0.2379,0.0057,0.2436,0.2457,4760.4,4800.1,355.5
2019-09-03,-120,-0.2441,-0.2421,0.0063,0.2483,0.2504,7208.7,7268.9,0.0
2019-09-04,-119,-0.2513,-0.2492,0.0063,0.2554,0.2576,6161.1,6212.5,959.7
2019-09-05,-118,-0.2564,-0.2542,0.0073,0.2615,0.2637,4120.7,4155.1,304.3
2019-09-06,-117,-0.2598,-0.2576,0.0080,0.2656,0.2678,1282.8,1293.5,95.3
2019-09-07,-116,-0.2584,-0.2562,0.0106,0.2668,0.2691,2008.4,2025.2,40.6
2019-09-08,-115,-0.2601,-0.2578,0.0110,0.2688,0.2711,3825.8,3857.7,269.4
2019-09-09,-114,-0.2632,-0.2609,0.0117,0.2726,0.2749,723.4,729.4,21.5
2019-09-10,-113,-0.2616,-0.2593,0.0140,0.2733,0.2756,0.0,0.0,0.0
2019-09-11,-112,-0.2584,-0.2561,0.0172,0.2733,0.2756,17.0,17.2,0.0
2019-09-12,-111,-0.2578,-0.2556,0.0178,0.2733,0.2756,484.3,488.3,1.9
2019-09-13,-110,-0.2578,-0.2555,0.0183,0.2738,0.2761,1606.6,1620.1,74.2
2019-09-14,-109,-0.2583,-0.2560,0.0193,0.2754,0.2777,1693.5,1707.6,252.4
2019-09-15,-108,-0.2568,-0.2545,0.0225,0.2771,0.2794,0.0,0.0,0.0
2019-09-16,-107,-0.2532,-0.2509,0.0262,0.2771,0.2794,0.0,0.0,0.0
2019-09-17,-106,-0.2517,-0.2494,0.0277,0.2771,0.2794,1151.6,1161.2,0.0
2019-09-18,-105,-0.2528,-0.2505,0.0277,0.2782,0.2805,9336.7,9414.7,0.0
2019-09-19,-104,-0.2621,-0.2597,0.0277,0.2874,0.2898,10009.4,10093.0,15.3
2019-09-20,-103,-0.2721,-0.2696,0.0277,0.2973,0.2998,12219.7,12321.7,440.8
2019-09-21,-102,-0.2842,-0.2816,0.0277,0.3093,0.3119,12544.5,12649.3,0.0
2019-09-22,-101,-0.2966,-0.2939,0.0277,0.3217,0.3244,18511.1,18665.8,0.0
2019-09-23,-100,-0.3150,-0.3122,0.0277,0.3400,0.3428,10420.8,10507.8,13.8
2019-09-24,-99,-0.3254,-0.3225,0.0278,0.3502,0.3532,10949.0,11040.4,583.3
2019-09-25,-98,-0.3362,-0.3332,0.0278,0.3610,0.3640,13445.1,13557.4,1012.0
2019-09-26,-97,-0.3495,-0.3464,0.0279,0.3743,0.3774,14902.6,15027.1,115.0
2019-09-27,-96,-0.3643,-0.3611,0.0279,0.3890,0.3922,14038.8,14156.1,508.8
2019-09-28,-95,-0.3782,-0.3749,0.0280,0.4028,0.4062,9842.9,9925.1,1758.5
2019-09-29,-94,-0.3876,-0.3842,0.0283,0.4125,0.4160,11780.5,11878.8,1145.9
2019-09-30,-93,-0.3992,-0.3957,0.0285,0.4242,0.4277,0.0,0.0,0.0
2019-10-01,-92,-0.3857,-0.3822,0.0419,0.4242,0.4277,0.0,0.0,0.0
2019-10-02,-91,-0.3538,-0.3502,0.0739,0.4242,0.4277,0.0,0.0,0.0
2019-10-03,-90,-0.3453,-0.3418,0.0824,0.4242,0.4277,0.0,0.0,0.0
2019-10-04,-89,-0.3426,-0.3390,0.0851,0.4242,0.4277,0.0,0.0,0.0
2019-10-05,-88,-0.3311,-0.3275,0.0966,0.4242,0.4277,0.0,0.0,0.0
2019-10-06,-87,-0.3294,-0.3259,0.0983,0.4242,0.4277,0.0,0.0,0.0
2019-10-07,-86,-0.3284,-0.3249,0.0993,0.4242,0.4277,0.0,0.0,0.0
