date,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10
2019-08-14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2019-08-15,-0.0166,-0.0192,-0.0200,-0.0144,-0.0127,-0.0132,-0.0069,-0.0061,-0.0018,-0.0005
2019-08-16,-0.0270,-0.0308,-0.0317,-0.0226,-0.0194,-0.0193,-0.0077,-0.0063,-0.0014,-0.0001
2019-08-17,-0.0342,-0.0368,-0.0373,-0.0273,-0.0224,-0.0205,-0.0056,-0.0040,0.0010,0.0024
2019-08-18,-0.0440,-0.0456,-0.0457,-0.0349,-0.0285,-0.0253,-0.0060,-0.0039,0.0011,0.0025
2019-08-19,-0.0520,-0.0523,-0.0518,-0.0400,-0.0315,-0.0261,-0.0017,0.0007,0.0058,0.0075
2019-08-20,-0.0679,-0.0672,-0.0666,-0.0537,-0.0435,-0.0369,-0.0086,-0.0056,0.0031,0.0058
2019-08-21,-0.0865,-0.0886,-0.0893,-0.0701,-0.0581,-0.0524,-0.0184,-0.0148,-0.0025,0.0018
2019-08-22,-0.1136,-0.1136,-0.1159,-0.0893,-0.0755,-0.0713,-0.0314,-0.0273,-0.0113,-0.0046
2019-08-23,-0.1425,-0.1411,-0.1441,-0.1153,-0.0940,-0.0916,-0.0458,-0.0412,-0.0217,-0.0124
2019-08-24,-0.1678,-0.1650,-0.1686,-0.1377,-0.1138,-0.1088,-0.0572,-0.0522,-0.0288,-0.0175
2019-08-25,-0.1888,-0.1844,-0.1886,-0.1560,-0.1296,-0.1234,-0.0643,-0.0585,-0.0305,-0.0177
2019-08-26,-0.2165,-0.2103,-0.2157,-0.1809,-0.1517,-0.1444,-0.0779,-0.0716,-0.0402,-0.0250
2019-08-27,-0.2446,-0.2365,-0.2432,-0.2062,-0.1740,-0.1659,-0.0919,-0.0851,-0.0502,-0.0325
2019-08-28,-0.2728,-0.2627,-0.2709,-0.2316,-0.1965,-0.1875,-0.1060,-0.0987,-0.0605,-0.0402
2019-08-29,-0.3008,-0.2886,-0.2982,-0.2567,-0.2188,-0.2089,-0.1200,-0.1122,-0.0707,-0.0478
2019-08-30,-0.3285,-0.3144,-0.3254,-0.2817,-0.2409,-0.2301,-0.1338,-0.1256,-0.0807,-0.0553
2019-08-31,-0.3514,-0.3354,-0.3475,-0.3019,-0.2585,-0.2467,-0.1437,-0.1348,-0.0866,-0.0594
2019-09-01,-0.3698,-0.3521,-0.3648,-0.3177,-0.2719,-0.2590,-0.1493,-0.1398,-0.0878,-0.0598
2019-09-02,-0.3823,-0.3631,-0.3760,-0.3276,-0.2797,-0.2649,-0.1499,-0.1398,-0.0871,-0.0589
2019-09-03,-0.3927,-0.3706,-0.3835,-0.3342,-0.2847,-0.2685,-0.1491,-0.1387,-0.0860,-0.0578
2019-09-04,-0.4044,-0.3812,-0.3942,-0.3440,-0.2929,-0.2756,-0.1523,-0.1413,-0.0860,-0.0578
2019-09-05,-0.4167,-0.3919,-0.4050,-0.3534,-0.3001,-0.2811,-0.1514,-0.1397,-0.0836,-0.0552
2019-09-06,-0.4247,-0.3986,-0.4115,-0.3592,-0.3043,-0.2838,-0.1503,-0.1385,-0.0824,-0.0540
2019-09-07,-0.4270,-0.3996,-0.4119,-0.3588,-0.3024,-0.2811,-0.1472,-0.1352,-0.0791,-0.0504
2019-09-08,-0.4319,-0.4036,-0.4155,-0.3619,-0.3041,-0.2814,-0.1467,-0.1347,-0.0786,-0.0499
2019-09-09,-0.4394,-0.4099,-0.4216,-0.3672,-0.3079,-0.2839,-0.1457,-0.1337,-0.0775,-0.0487
2019-09-10,-0.4406,-0.4101,-0.4212,-0.3662,-0.3056,-0.2815,-0.1431,-0.1309,-0.0746,-0.0457
2019-09-11,-0.4379,-0.4073,-0.4184,-0.3633,-0.3024,-0.2783,-0.1396,-0.1271,-0.0708,-0.0417
2019-09-12,-0.4376,-0.4068,-0.4179,-0.3628,-0.3018,-0.2777,-0.1389,-0.1264,-0.0701,-0.0409
2019-09-13,-0.4397,-0.4080,-0.4185,-0.3630,-0.3013,-0.2772,-0.1384,-0.1258,-0.0695,-0.0403
2019-09-14,-0.4435,-0.4108,-0.4209,-0.3648,-0.3017,-0.2763,-0.1371,-0.1245,-0.0681,-0.0388
2019-09-15,-0.4462,-0.4123,-0.4218,-0.3648,-0.2998,-0.2732,-0.1333,-0.1204,-0.0640,-0.0344
2019-09-16,-0.4431,-0.4092,-0.4186,-0.3615,-0.2962,-0.2696,-0.1293,-0.1161,-0.0596,-0.0298
2019-09-17,-0.4418,-0.4079,-0.4172,-0.3601,-0.2947,-0.2680,-0.1276,-0.1143,-0.0578,-0.0278
2019-09-18,-0.4455,-0.4107,-0.4197,-0.3620,-0.2955,-0.2680,-0.1276,-0.1143,-0.0578,-0.0278
2019-09-19,-0.4592,-0.4232,-0.4328,-0.3739,-0.3058,-0.2775,-0.1335,-0.1197,-0.0601,-0.0292
2019-09-20,-0.4764,-0.4388,-0.4496,-0.3888,-0.3164,-0.2873,-0.1398,-0.1255,-0.0628,-0.0309
2019-09-21,-0.4959,-0.4567,-0.4690,-0.4059,-0.3315,-0.3017,-0.1480,-0.1333,-0.0674,-0.0338
2019-09-22,-0.5155,-0.4747,-0.4885,-0.4232,-0.3467,-0.3163,-0.1565,-0.1413,-0.0725,-0.0373
2019-09-23,-0.5419,-0.4993,-0.5155,-0.4473,-0.3682,-0.3378,-0.1710,-0.1554,-0.0840,-0.0455
2019-09-24,-0.5589,-0.5148,-0.5322,-0.4620,-0.3810,-0.3499,-0.1773,-0.1613,-0.0868,-0.0473
2019-09-25,-0.5768,-0.5311,-0.5498,-0.4775,-0.3945,-0.3628,-0.1842,-0.1677,-0.0899,-0.0490
2019-09-26,-0.5974,-0.5501,-0.5705,-0.4959,-0.4107,-0.3787,-0.1938,-0.1767,-0.0957,-0.0527
