ele,ncells,mb_annual_meas_corr,mb_annual_meas,mb_annual_hydro,mb_winter_fixed,mb_winter_meas
3825,39,-1.8737,-2.0238,-1.4237,1.0573,NA
3875,222,-1.4126,-1.5569,-1.0587,1.0770,NA
3925,681,-1.3383,-1.3754,-0.8771,1.1550,NA
3975,441,-1.1118,-1.0201,-0.5745,1.2204,NA
4025,222,-0.8562,-0.7464,-0.3711,1.1768,NA
4075,162,-0.5134,-0.4762,-0.1342,1.2519,NA
4125,207,-0.2910,-0.2268,0.0757,1.3424,NA
4175,111,-0.1829,-0.0723,0.1855,1.3533,NA
4225,103,0.0301,0.1121,0.3322,1.3920,NA
4275,66,0.1721,0.1950,0.3767,1.3376,NA
4325,71,0.4274,0.4035,0.5473,1.3548,NA
4375,85,0.6798,0.6975,0.8017,1.4296,NA
4425,56,0.6235,0.7144,0.7806,1.3066,NA
4475,50,0.6401,0.6401,0.6736,1.1211,NA
4525,19,0.6402,0.6402,0.6609,1.0568,NA
